sector,ticker,model,acc,auc
Consumer Cyclical,F,RF,0.4697986577181208,0.46510437575270974
Energy,FANG,LR,0.5355191256830601,0.5135895593869731
Energy,FANG,RF,0.4644808743169399,0.4575401101532567
Industrials,FAST,LR,0.49691358024691357,0.4693838645722129
Industrials,FAST,RF,0.4845679012345679,0.4707373798993442
Industrials,FBIN,LR,0.46226415094339623,0.5192307692307692
Industrials,FBIN,RF,0.5,0.46866096866096857
Basic Materials,FCX,LR,0.45979899497487436,0.46201361990835677
Basic Materials,FCX,RF,0.535175879396985,0.5282397913976862
Financial Services,FDS,LR,0.5135135135135135,0.523876404494382
Financial Services,FDS,RF,0.5405405405405406,0.488003277153558
Industrials,FDX,LR,0.4904306220095694,0.48580390709689325
Industrials,FDX,RF,0.5191387559808612,0.5052932629102567
Utilities,FE,LR,0.5180412371134021,0.49820788530465954
Utilities,FE,RF,0.5025773195876289,0.4889373972565823
Technology,FFIV,LR,0.49101796407185627,0.48677932048936245
Technology,FFIV,RF,0.5299401197604791,0.4867793204893624
Technology,FICO,LR,0.52,0.5070921985815603
Technology,FICO,RF,0.5657142857142857,0.5393354347255057
Technology,FIS,LR,0.5308988764044944,0.4936873081669461
Technology,FIS,RF,0.5168539325842697,0.5077682498496978
Financial Services,FISV,LR,0.4820936639118457,0.44155092592592593
Financial Services,FISV,RF,0.5371900826446281,0.5123964424951267
Financial Services,FITB,LR,0.5014005602240896,0.5034062953384217
Financial Services,FITB,RF,0.5014005602240896,0.492272755945247
Basic Materials,FMC,LR,0.4601449275362319,0.44744728955255275
Basic Materials,FMC,RF,0.47101449275362317,0.4800725590199274
Communication Services,FOX,LR,0.45965770171149145,0.5369196254389388
Communication Services,FOX,RF,0.5012224938875306,0.5235319937573156
Communication Services,FOXA,LR,0.46943765281173594,0.524458642216153
Communication Services,FOXA,RF,0.48655256723716384,0.5013533944596176
Financial Services,FRCB,LR,0.4236111111111111,0.48733798604187434
Financial Services,FRCB,RF,0.4652777777777778,0.5035892323030907
Real Estate,FRT,LR,0.4906832298136646,0.5062905217659772
Real Estate,FRT,RF,0.5527950310559007,0.5416023464032108
Technology,FSLR,LR,0.46107784431137727,0.5741861135119561
Technology,FSLR,RF,0.46107784431137727,0.4580812445980985
Technology,FTNT,LR,0.5234375,0.5061107313738893
Technology,FTNT,RF,0.5651041666666666,0.5460970608339029
Technology,FTV,LR,0.5176848874598071,0.5481389578163771
Technology,FTV,RF,0.4919614147909968,0.47444168734491315
Consumer Cyclical,GAP,LR,0.5144927536231884,0.46899306285474035
Consumer Cyclical,GAP,RF,0.43478260869565216,0.47603531637586716
Industrials,GD,LR,0.49873417721518987,0.4748884214846355
Industrials,GD,RF,0.529113924050633,0.5321397424716564
Industrials,GE,LR,0.5396825396825397,0.5228017132779037
Industrials,GE,RF,0.4897959183673469,0.4918220374569581
Healthcare,GEHC,LR,0.5251798561151079,0.4983050847457627
Healthcare,GEHC,RF,0.5683453237410072,0.5569915254237289
Technology,GEN,LR,0.45454545454545453,0.47696354072193
Technology,GEN,RF,0.5151515151515151,0.5098403772900416
Industrials,GEV,LR,0.5108695652173914,0.5766666666666667
Industrials,GEV,RF,0.4891304347826087,0.5588095238095238
Healthcare,GILD,LR,0.4795180722891566,0.4660584795321637
Healthcare,GILD,RF,0.5036144578313253,0.5237309941520468
Consumer Defensive,GIS,LR,0.4841075794621027,0.5028456645463675
Consumer Defensive,GIS,RF,0.4963325183374083,0.5006097852599359
Financial Services,GL,LR,0.5358361774744027,0.5278679137239931
Financial Services,GL,RF,0.5119453924914675,0.5117150219507539
Technology,GLW,LR,0.5373831775700935,0.5436823909891826
Technology,GLW,RF,0.5397196261682243,0.5379056540649045
Consumer Cyclical,GM,LR,0.4742729306487696,0.45322790470769986
Consumer Cyclical,GM,RF,0.4966442953020134,0.4666639564192211
Industrials,GNRC,LR,0.4780701754385965,0.4644506001846722
Industrials,GNRC,RF,0.4649122807017544,0.46672052939365954
Communication Services,GOOG,LR,0.5704697986577181,0.5459842712195917
Communication Services,GOOG,RF,0.5503355704697986,0.5783382910231857
Communication Services,GOOGL,LR,0.5503355704697986,0.5443531994471096
Communication Services,GOOGL,RF,0.5727069351230425,0.5530632571753801
Consumer Cyclical,GPC,LR,0.4921135646687697,0.5501202886928629
Consumer Cyclical,GPC,RF,0.5331230283911672,0.5239574979951884
Industrials,GPN,LR,0.4894894894894895,0.5047649989170457
Industrials,GPN,RF,0.5795795795795796,0.5603205544726013
Technology,GRMN,LR,0.5173210161662818,0.4883554514702056
Technology,GRMN,RF,0.5103926096997691,0.4807875791482349
Financial Services,GS,LR,0.5257270693512305,0.5389092389092389
Financial Services,GS,RF,0.5548098434004475,0.5359076109076109
Industrials,GWW,LR,0.4879725085910653,0.457624716553288
Industrials,GWW,RF,0.45017182130584193,0.45793178382464095
Energy,HAL,LR,0.5152284263959391,0.5204741657002964
Energy,HAL,RF,0.5456852791878173,0.5690890349181805
Consumer Cyclical,HAS,LR,0.5247252747252747,0.5388735889598402
Consumer Cyclical,HAS,RF,0.5137362637362637,0.5324577066247012
Financial Services,HBAN,LR,0.48672566371681414,0.48778700537371766
Financial Services,HBAN,RF,0.4808259587020649,0.4704620001395771
Healthcare,HCA,LR,0.5432432432432432,0.5037491479209271
Healthcare,HCA,RF,0.5216216216216216,0.5092765478201594
Consumer Cyclical,HD,LR,0.5092592592592593,0.49589353285173715
Consumer Cyclical,HD,RF,0.4513888888888889,0.4601285689714482
Financial Services,HIG,LR,0.547112462006079,0.48657009204768364
Financial Services,HIG,RF,0.513677811550152,0.4786102308736986
Industrials,HII,LR,0.5614754098360656,0.5796130952380952
Industrials,HII,RF,0.5491803278688525,0.521881764069264
Consumer Cyclical,HLT,LR,0.5413333333333333,0.4820998968954061
Consumer Cyclical,HLT,RF,0.5173333333333333,0.529270248596632
Healthcare,HOLX,LR,0.5,0.5017396022854225
Healthcare,HOLX,RF,0.5423728813559322,0.5638864949407897
Industrials,HON,LR,0.4853932584269663,0.44093645214721455
Industrials,HON,RF,0.49887640449438203,0.5028582394053246
Technology,HPE,LR,0.54292343387471,0.5403463203463204
Technology,HPE,RF,0.5568445475638051,0.5143939393939394
Technology,HPQ,LR,0.4897959183673469,0.47675713578617396
Technology,HPQ,RF,0.5170068027210885,0.49947409668371556
Consumer Defensive,HRL,LR,0.49441340782122906,0.5166479260369815
Consumer Defensive,HRL,RF,0.5139664804469274,0.5057002748625687
Healthcare,HSIC,LR,0.4804804804804805,0.4445207956600361
Healthcare,HSIC,RF,0.5225225225225225,0.5213562386980108
Real Estate,HST,LR,0.5242718446601942,0.5500125976316452
Real Estate,HST,RF,0.5307443365695793,0.545981355505165
Consumer Defensive,HSY,LR,0.5363408521303258,0.5107051314268483
