model,Sector,fold,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
LSTM,Financial Services,3,0.5112435053688951,0.5088320299440137,0.6117022118086688,0.5187536525981362,0.7529411764705882,0.006955252520469112,0.5170072739868375,0.5170072739868375,14435.0,0.004940359818405273,0.004815531974843145,0.03909456991569554,0.0007398674717546003,0.10813592406233355,0.004313491359681251,0.0,0.0,0.0,5
LogisticRegression,Financial Services,4,0.5325798800055811,0.4965279006022131,0.6635870656758385,0.5481088254810883,0.8407124681933842,-0.0010991042874079796,0.548346588530766,0.548346588530766,14334.0,,,,,,,,,,1
RandomForest,Financial Services,4,0.5138133110087902,0.5021816960541323,0.5767899435234105,0.5517601951899617,0.6041984732824427,0.008409023507810805,0.548346588530766,0.548346588530766,14334.0,,,,,,,,,,1
XGBoost,Financial Services,4,0.5113715641132971,0.4986626875479998,0.594769729229345,0.5454159592529711,0.6539440203562341,-0.008158448121479782,0.548346588530766,0.548346588530766,14334.0,,,,,,,,,,1
LSTM,Financial Services,4,0.5185014650481372,0.49161666631293227,0.6278088840344729,0.544424641131857,0.7446055979643766,-0.013191430138724276,0.548346588530766,0.548346588530766,14334.0,0.013185839264420933,0.011481360899096849,0.02902271085116591,0.006787047443958417,0.07600099359350454,0.021908826250817887,0.0,0.0,0.0,5
LogisticRegression,Financial Services,5,0.5251636363636364,0.5015454934982552,0.6706018868876444,0.5338152610441768,0.9016415683082349,-0.01400868768566304,0.5360727272727273,0.5360727272727273,13750.0,,,,,,,,,,1
RandomForest,Financial Services,5,0.5112727272727273,0.49820242018601224,0.5868175110673881,0.5366018216574834,0.6474019807353141,0.0014356098793520582,0.5360727272727273,0.5360727272727273,13750.0,,,,,,,,,,1
XGBoost,Financial Services,5,0.5228363636363637,0.5047816220675081,0.64,0.5373134328358209,0.7912087912087912,0.004816455486178636,0.5360727272727273,0.5360727272727273,13750.0,,,,,,,,,,1
LSTM,Financial Services,5,0.5250036363636363,0.5066340960002453,0.6614073469028948,0.5352648220438737,0.8660425993759328,-0.005406485098903848,0.5360727272727273,0.5360727272727273,13750.0,0.0023201025910631165,0.007870431045544798,0.008098293059870884,0.0022689929161734262,0.03237374921181265,0.011660078205664207,0.0,0.0,0.0,5
LogisticRegression,Consumer Defensive,1,0.5349369988545246,0.5146518890857401,0.6451824339086738,0.5448339483394834,0.79084092126406,0.03800545902280385,0.5346506300114547,0.5346506300114547,6984.0,,,,,,,,,,1
RandomForest,Consumer Defensive,1,0.5007159221076747,0.49325540768818754,0.5736642621347353,0.5277840269966254,0.628280664167113,-0.018214693405282503,0.5346506300114547,0.5346506300114547,6984.0,,,,,,,,,,1
XGBoost,Consumer Defensive,1,0.5015750286368843,0.49238894153516544,0.5707238870390924,0.5289142857142857,0.6197107659346546,-0.014892327985517182,0.5346506300114547,0.5346506300114547,6984.0,,,,,,,,,,1
LSTM,Consumer Defensive,1,0.5264318442153494,0.5073126364797494,0.6289148584450621,0.5387340084996176,0.7826459560792716,0.023092646100067685,0.5346506300114547,0.5346506300114547,6984.0,0.018425392855488266,0.0015111858612674785,0.08244588835209989,0.004141110742634162,0.19891289110466825,0.01604768309967,0.0,0.0,0.0,5
LogisticRegression,Consumer Defensive,2,0.5084092951598408,0.49831803027981086,0.643050247040179,0.5140855567148607,0.8583872573419612,-0.008828205250590549,0.5158556939273334,0.5158556939273334,7789.0,,,,,,,,,,1
RandomForest,Consumer Defensive,2,0.5095647708306587,0.5072059384321864,0.5863114576564868,0.5189800613496932,0.6737182677949228,0.008901423636635692,0.5158556939273334,0.5158556939273334,7789.0,,,,,,,,,,1
XGBoost,Consumer Defensive,2,0.5086660675311336,0.5063885150078427,0.597623804016402,0.5173857636992536,0.7073170731707317,0.004735638737017672,0.5158556939273334,0.5158556939273334,7789.0,,,,,,,,,,1
LSTM,Consumer Defensive,2,0.520323533187829,0.51247515324503,0.6354303694542137,0.5226473156959289,0.810801393728223,0.02696575510075134,0.5158556939273334,0.5158556939273334,7789.0,0.002066977717036645,0.0043275885876146464,0.007264179765337486,0.0019122688820000348,0.027115020608943816,0.005487648459492506,0.0,0.0,0.0,5
LogisticRegression,Consumer Defensive,3,0.49676765115984284,0.4774432277430541,0.6499118165784833,0.4988493299038852,0.9322033898305084,-0.017094315502345466,0.5010774496133857,0.5010774496133857,7889.0,,,,,,,,,,1
RandomForest,Consumer Defensive,3,0.5050069717327925,0.5085421577005423,0.5714912761988368,0.5046511627906977,0.6587401973184923,0.009828195358320212,0.5010774496133857,0.5010774496133857,7889.0,,,,,,,,,,1
XGBoost,Consumer Defensive,3,0.5022182786157942,0.5016815660741353,0.5932677369238737,0.5022799017888461,0.7245130280799393,0.003883184552848692,0.5010774496133857,0.5010774496133857,7889.0,,,,,,,,,,1
LSTM,Consumer Defensive,3,0.5007478767904677,0.4983667467746016,0.6234901565279352,0.5011397407166462,0.8280293448014167,-9.78887784289055e-05,0.5010774496133857,0.5010774496133857,7889.0,0.0014497126079854028,0.004369204228302064,0.020467945675009966,0.0009544588495754747,0.06980191831398076,0.00396373282403349,0.0,0.0,0.0,5
LogisticRegression,Consumer Defensive,4,0.5121028744326778,0.5033464178821603,0.6575827287205804,0.5118457300275482,0.9193468579910935,0.014887612099443594,0.5095814422592032,0.5095814422592032,7932.0,,,,,,,,,,1
RandomForest,Consumer Defensive,4,0.5093292990418558,0.5064982529201736,0.561217587373168,0.5155343827671914,0.61578426521524,0.01485128618542832,0.5095814422592032,0.5095814422592032,7932.0,,,,,,,,,,1
XGBoost,Consumer Defensive,4,0.5121028744326778,0.5116895349473205,0.5836919104991394,0.5163684811572136,0.6712023750618505,0.01901646710047188,0.5095814422592032,0.5095814422592032,7932.0,,,,,,,,,,1
LSTM,Consumer Defensive,4,0.5081442259203227,0.49891901105233105,0.6354494620058075,0.5105049254304292,0.8426521523998021,0.005056979296238317,0.5095814422592032,0.5095814422592032,7932.0,0.0037574838750438194,0.002884321601260623,0.014203706468516356,0.0019532190108953983,0.04832995706579615,0.009684774057521035,0.0,0.0,0.0,5
