model,Sector,accuracy,auc,f1,precision,recall,mcc,baseline_test,baseline_train,n,accuracy_sd,auc_sd,f1_sd,precision_sd,recall_sd,mcc_sd,baseline_test_sd,baseline_train_sd,n_sd,n_seeds
LSTM,Basic Materials,0.5025683134893482,0.5002013003023034,0.5824029579467249,0.5071941272013395,0.690801293568092,-0.00022596651614236835,0.507823548195794,0.507823548195794,21921.0,0.006281384355571552,0.004921956731529683,0.04013771375790792,0.003488523701091901,0.10625747313989618,0.011974815170826573,0.0,0.0,0.0,5
LogisticRegression,Real Estate,0.49605645496056455,0.48285807281795745,0.6052460437892911,0.5067380552656654,0.7512949882273797,-0.02680557993284232,0.5142175176421752,0.4962640099626401,28908.0,,,,,,,,,,1
RandomForest,Real Estate,0.49768230247682305,0.48842899489983665,0.5417363587591125,0.5102247057424801,0.5773965691220989,-0.009425014171687215,0.5142175176421752,0.4962640099626401,28908.0,,,,,,,,,,1
XGBoost,Real Estate,0.4922858724228587,0.4859327146147797,0.5468243431006268,0.5053646843967584,0.5956945845946855,-0.021973243751268513,0.5142175176421752,0.4962640099626401,28908.0,,,,,,,,,,1
LSTM,Real Estate,0.4952815829528158,0.4825174228815589,0.6000860981953562,0.5063354376955012,0.7372620248906828,-0.027373726572092017,0.5142175176421752,0.4962640099626401,28908.0,0.0019081770040486991,0.0017933410600077999,0.012163539582072575,0.0012201951213925628,0.03607082917896308,0.004373332269126418,0.0,0.0,0.0,5
LogisticRegression,Energy,0.4979904487209797,0.48216156932665377,0.5840222544371743,0.517030870620881,0.6709578682030969,-0.02401033877029872,0.5252257789966429,0.513546739798572,21149.0,,,,,,,,,,1
RandomForest,Energy,0.5023878197550712,0.4987562696222406,0.5159598932940852,0.5274590934737634,0.5049513863881887,0.004497560238180959,0.5252257789966429,0.513546739798572,21149.0,,,,,,,,,,1
XGBoost,Energy,0.49647737481677623,0.4964424891075865,0.5149624231382373,0.5211579238499124,0.5089124954987396,-0.0083587809652274,0.5252257789966429,0.513546739798572,21149.0,,,,,,,,,,1
LSTM,Energy,0.5069270414676816,0.4954003825582666,0.5963140044724062,0.5230013075323727,0.6947605329492258,-0.006583733508474241,0.5252257789966429,0.513546739798572,21149.0,0.0034775121297833072,0.0023645020479370147,0.01676106341967783,0.001144586360377813,0.044954076101956036,0.0034381333434046375,0.0,0.0,0.0,5
LogisticRegression,Communication Services,0.507254536792412,0.49724200677049457,0.6089974911502904,0.512286788089043,0.7507202169123878,0.003920429673737632,0.5111524968599767,0.5111524968599767,23089.0,,,,,,,,,,1
RandomForest,Communication Services,0.5055654207631339,0.5036041023721084,0.5469481704897214,0.5144072857569424,0.5838840874428063,0.007654544372560094,0.5111524968599767,0.5111524968599767,23089.0,,,,,,,,,,1
XGBoost,Communication Services,0.5096799341677856,0.5061490134305615,0.5483343307400758,0.5181331523787982,0.5822741908151161,0.01622432987852593,0.5111524968599767,0.5111524968599767,23089.0,,,,,,,,,,1
LSTM,Communication Services,0.505348867426047,0.4980449026731447,0.5870315957986979,0.5120326095313903,0.6896797153024912,0.0024132073024828913,0.5111524968599767,0.5111524968599767,23089.0,0.0007096872800109858,0.004596457746289861,0.018629736670273067,0.0009808913142935268,0.05227538130425739,0.0024397133611024635,0.0,0.0,0.0,5
